date,code,open,close,high,low,volume,amount,amplitude,pct_change,price_change,turnover_rate,RSI,MACD,MACD_signal,MACD_hist,MA20,MA50,BB_upper,BB_lower,BB_middle
2015-07-24,000021,12.52,12.62,13.29,12.32,1125963,1542923328.0,7.88,2.52,0.31,7.66,48.7527897977308,-1.0566206908836016,-0.9021284219645077,-0.15449226891909384,13.370500000000002,13.63,19.430861292860357,7.310138707139647,13.370500000000002
2015-07-27,000021,12.12,11.27,13.12,11.27,873806,1158168592.0,14.66,-10.7,-1.35,5.95,43.78707209181464,-1.022516870508312,-0.9262061116732686,-0.09631075883504348,13.121,13.623199999999999,19.095241039663534,7.146758960336466,13.121
2015-07-28,000021,10.91,10.62,11.66,10.06,757496,879730176.0,14.2,-5.77,-0.65,5.15,41.59052158982563,-1.0359965910631903,-0.948164207551253,-0.08783238351193734,12.824000000000002,13.6164,18.674160339683013,6.973839660316991,12.824000000000002
2015-07-29,000021,11.12,11.77,11.77,10.63,607657,732685120.0,10.73,10.83,1.15,4.13,46.686222280110485,-0.9430135049900823,-0.9471340670390189,0.004120562048936627,12.547500000000001,13.6218,18.03692938746825,7.058070612531752,12.547500000000001
2015-07-30,000021,12.02,11.44,12.21,11.13,630366,809257056.0,9.18,-2.8,-0.33,4.29,45.46060032542809,-0.8857417024542826,-0.9348555941220718,0.04911389166778912,12.3185,13.608999999999998,17.587060619372245,7.049939380627757,12.3185
2015-07-31,000021,11.2,11.03,11.6,10.62,419580,508258928.0,8.57,-3.58,-0.41,2.85,43.91796041984912,-0.8634832622629389,-0.9205811277502453,0.05709786548730633,12.041500000000001,13.585,16.957576789473496,7.125423210526505,12.041500000000001
2015-08-03,000021,10.72,9.87,11.01,9.84,413419,458430320.0,10.61,-10.52,-1.16,2.81,39.802670619911105,-0.928739660833676,-0.9222128343669315,-0.0065268264667445175,11.644499999999999,13.524000000000001,15.86650651349569,7.422493486504308,11.644499999999999
2015-08-04,000021,9.92,10.92,10.94,9.92,383152,434157696.0,10.33,10.64,1.05,2.61,44.84104339318455,-0.88552185731122,-0.9148746389557892,0.029352781644569226,11.3445,13.487,14.809198976823243,7.879801023176757,11.3445
2015-08-05,000021,10.82,10.57,11.19,10.35,414942,485665552.0,7.69,-3.21,-0.35,2.82,43.533079104530586,-0.8694905655792535,-0.9057978242804822,0.03630725870122864,11.116,13.457800000000002,14.12167729472078,8.11032270527922,11.116
2015-08-06,000021,10.31,10.32,10.59,10.02,248980,279207280.0,5.39,-2.37,-0.25,1.69,42.57773596489323,-0.866964732278376,-0.898031205880061,0.03106647360168502,10.955,13.418999999999999,13.762486420269923,8.147513579730077,10.955
2015-08-07,000021,10.47,10.79,10.82,10.47,340120,394058512.0,3.39,4.55,0.47,2.31,45.0205097184551,-0.8176129855921808,-0.881947561822485,0.06433457623030425,10.776,13.379199999999999,13.105552746773514,8.446447253226486,10.776
